observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5
remora4,remora3,20.04,19.99,20.00,19.97,19.98,20.02,20.01,19.99,19.98,19.97,20.04,19.99,20.00,19.97,19.98,20.02,20.01,19.99,19.98,19.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,184.06
remora4,remora3,19.97,19.96,20.02,20.01,19.99,19.98,19.97,20.00,20.04,19.99,19.97,19.96,20.02,20.01,19.99,19.98,19.97,20.00,20.04,19.99,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,183.64
remora3,remora4,19.74,19.78,19.80,19.80,19.86,19.90,19.86,19.87,19.86,19.89,19.74,19.78,19.80,19.80,19.86,19.90,19.86,19.87,19.86,19.89,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,183.88
remora3,remora4,19.95,20.00,19.99,19.98,19.98,19.97,19.95,19.99,19.98,19.99,19.95,20.00,19.99,19.98,19.98,19.97,19.95,19.99,19.98,19.99,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,184.36
remora3,remora4,19.99,19.96,20.00,20.00,19.96,19.99,19.99,19.98,20.01,19.98,19.99,19.96,20.00,20.00,19.96,19.99,19.99,19.98,20.01,19.98,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,181.66
remora3,remora4,20.00,19.98,19.99,20.01,20.01,19.99,19.99,19.98,19.99,20.02,19.99,19.99,19.99,20.01,20.01,19.99,19.99,19.98,19.99,20.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,182.07
remora3,remora4,19.99,19.99,19.98,19.98,20.02,20.01,19.99,19.99,19.98,20.01,19.99,19.99,19.98,19.98,20.02,20.01,19.99,19.99,19.98,20.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,182.87
remora3,remora4,20.03,19.99,19.99,19.98,20.01,20.04,20.00,20.00,19.98,19.98,20.03,19.99,19.99,19.98,20.00,20.04,20.00,20.00,19.98,19.98,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,182.47
remora3,remora4,20.04,20.03,20.00,19.99,19.97,19.99,20.02,20.00,20.00,19.97,20.04,20.03,20.00,19.99,19.97,19.98,20.02,20.00,20.00,19.97,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.57,1.57,1.57,184.06
remora3,remora4,20.00,19.97,19.98,20.02,20.00,20.00,19.98,19.99,20.02,20.02,20.00,19.97,19.98,20.02,20.00,20.00,19.98,19.99,20.02,20.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,183.66
remora3,remora2,19.75,19.78,19.77,19.80,19.86,19.87,19.86,19.89,19.86,19.92,19.75,19.79,19.78,19.80,19.85,19.86,19.86,19.89,19.86,19.91,0.91,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,183.88
remora3,remora2,19.97,20.02,19.98,19.98,19.98,19.96,19.95,20.01,20.02,20.00,19.97,20.02,19.98,19.98,19.98,19.96,19.95,20.01,20.02,20.00,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.50,1.50,1.50,1.51,1.51,1.51,1.51,1.51,1.51,1.51,184.34
remora3,remora2,19.98,19.95,20.03,20.01,19.98,19.98,19.96,19.99,20.01,19.97,19.98,19.95,20.03,20.01,19.99,19.98,19.96,19.99,20.01,19.98,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,181.66
remora3,remora2,19.99,19.95,20.02,20.04,20.00,19.98,19.98,20.01,20.03,20.01,19.99,19.95,20.02,20.04,20.00,19.98,19.98,20.01,20.03,20.01,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,182.09
remora3,remora2,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.00,20.03,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.00,20.03,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,182.86
